id,name,value,type,lower bound,upper bound,initial value
0,k_p1Am,0.020000146408357868,params,0.0002,2.0,0.02
1,k_p2Am,0.009993316082158222,params,0.0001,1.0,0.01
2,k_dAm,0.008224434712929607,params,5e-05,0.5,0.005
3,k_diA,0.27159156544574786,params,0.0002,2.0,0.02
4,k_cA,14.345996853790195,params,0.035,350.0,3.5
5,k_sA,0.00013384242613710093,params,7e-07,0.006999999999999999,7e-05
6,k_dAo,0.08587591614145423,params,0.0002,2.0,0.02
7,k_yA,0.015479879801935886,params,8.000000000000001e-06,0.08,0.0008
8,k_pTm,127.01299875973638,params,0.1,1000,10
9,k_dTm,6.053082005185275,params,0.005,50.0,0.5
10,k_ph1,9.805598848739463,params,0.12,1200,12
11,k_ph2,17.529190768124593,params,0.15,1500,15
12,k_deph,1.0355998589761475,params,0.01,100.0,1.0
13,k_diT,0.7011113950538771,params,0.006999999999999999,70.0,0.7
14,k_cT,1.5601167035566044,params,0.001,10.0,0.1
15,k_sT,3.3254171733823603,params,0.05,500.0,5.0
16,k_dTp,2.1550501018943007,params,0.002,20.0,0.2
17,k_sTp,9.098330458274521,params,0.05,500,5
18,k_dTo,0.005546111956837131,params,3e-05,0.3,0.003
19,k_yT,2.499598612292083,params,0.025,250.0,2.5
20,k_yTp,9.567698427375577,params,0.1,1000.0,10.0
21,k_AN,8.147371029659954,params,0.075,750.0,7.5
22,k_TN,21.7292250377281,params,0.01,100.0,1.0
23,k_a1A,0.0028902405215205955,params,1e-05,0.1,0.001
24,k_a2A,485.10894176686145,params,1.0,10000.0,100
25,k_a1T,0.12485730866175367,params,0.001,1000,1
26,k_a2T,7229.131916531445,params,5.0,50000.0,500.0
27,K_mTA,0.0007709493439434178,params,1.0000000000000002e-06,1.0,0.001
28,K_mAT,0.0016582959766137122,params,1.0000000000000002e-06,0.25,0.001
29,K_mAN,0.010271271886961588,params,3.0000000000000004e-07,0.3,0.0003
30,K_mTN,0.3675662030490647,params,2.9999999999999997e-06,3.0,0.003
31,K_mT2,24.307089548810097,params,0.0001,100,0.1
32,K_mA2,0.00012543755271290046,params,1.0000000000000001e-07,0.1,0.0001
33,n_TA,2.3694748514481305,params,1.0,12.0,2
34,n_cA,3.9976004053540772,params,1.0,12.0,4
35,n_AT,2.7141416803093534,params,1.0,12.0,1
36,n_cT,1.0,params,1.0,12.0,1.0
37,n_cTp,1.8011572653696728,params,1.0,12.0,1
38,n_cTo,1.2152086731894878,params,1.0,12.0,1
39,n_AN,3.747292248545403,params,1.0,12.0,2
40,n_TN,2.6388108510953976,params,1.0,12.0,2
41,n_a1A,1.0002536071169255,params,1.0,12.0,1
42,n_a2A,7.792595248573776,params,1.0,12.0,8
43,n_a1T,2.549234412871947,params,1.0,12.0,4
44,n_a2T,4.029263699712086,params,1.0,12.0,4
45,n_a1Tp,1.6863177058621783,params,1.0,12.0,2
46,n_a2Tp,3.3341325472866106,params,1.0,12.0,2.0
47,k_acsf,0.08163515915159418,params,0.0002,2.0,0.02
48,k_tcsf,0.12707439052708192,params,0.0002,2.0,0.02
49,Am,1.000029182592929,starting weights,0.0001,1000.0,1.0
50,Ao,1.0018808816143834,starting weights,0.0001,1000.0,1.0
51,Af,0.9991379613470257,starting weights,0.0001,1000.0,1.0
52,ACSF,0.9161888491813139,starting weights,0.0001,1000.0,1.0
53,Tm,5.470106293971291,starting weights,0.0001,1000.0,1.0
54,Tp,0.9843248969196814,starting weights,0.0001,1000.0,1.0
55,To,170.6415962084412,starting weights,0.0001,1000.0,1.0
56,Tf,4.241582710003716,starting weights,0.0001,1000.0,1.0
57,TCSF,1.009287376063933,starting weights,0.0001,1000.0,1.0
58,TpCSF,0.08821983134502459,starting weights,0.0001,1000.0,1.0
59,N,0.905946717222065,starting weights,0.0001,1000.0,1.0
